skill_name,num_industries
Management,310
Sales,309
Business Development,307
Information Technology,305
Engineering,278
Manufacturing,276
Other,273
Administrative,261
Accounting/Auditing,257
Finance,254
Project Management,251
Marketing,234
Customer Service,226
Analyst,223
Design,216
Human Resources,215
Strategy/Planning,213
Quality Assurance,193
General Business,190
Product Management,178
Consulting,178
Writing/Editing,177
Art/Creative,177
Research,168
Supply Chain,164
Public Relations,159
Legal,152
Production,150
Training,147
Purchasing,124
Education,123
Advertising,116
Health Care Provider,113
Distribution,110
Science,101
